CustomerId	CustomerName	AveragePurchaseValue	PurchaseFrequency	CustomerLifespan	CustomerLifetimeValue	BillingAddress	BillingCity	BillingState	BillingCountry	BillingPostalCode
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	1 Infinite Loop	Cupertino	CA	USA	95014
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	1 Microsoft Way	Redmond	WA	USA	98052-8300
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	1033 N Park Ave	Tucson	AZ	USA	85719
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	11, Place Bellecour	Lyon		France	69002
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	110 Raeburn Pl	"Edinburgh "		United Kingdom	EH4 1HH
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	113 Lupus St	London		United Kingdom	SW1V 3EN
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	12,Community Centre	Delhi		India	110017
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	120 S Orange Ave	Orlando	FL	USA	32801
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	162 E Superior Street	Chicago	IL	USA	60611
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	202 Hoxton Street	London		United Kingdom	N1 5LH
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	2211 W Berry Street	Fort Worth	TX	USA	76110
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	3 Chatham Street	Dublin	Dublin	Ireland	
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	3,Raj Bhavan Road	Bangalore		India	560001
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	302 S 700 E	Salt Lake City	UT	USA	84102
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	307 Macacha Güemes	Buenos Aires		Argentina	1106
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	319 N. Frances Street	Madison	WI	USA	53703
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	4, Rue Milton	Paris		France	75009
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	421 Bourke Street	Sidney	NSW	Australia	2010
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	541 Del Medio Avenue	Mountain View	CA	USA	94040-111
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	627 Broadway	New York	NY	USA	10012-2612
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	68, Rue Jouvence	Dijon		France	21000
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	69 Salem Street	Boston	MA	USA	2113
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	8, Rue Hanovre	Paris		France	75002
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	801 W 4th Street	Reno	NV	USA	89503
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	9, Place Louis Barthou	Bordeaux		France	33000
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Barbarossastraße 19	Berlin		Germany	10779
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Berger Straße 10	Frankfurt		Germany	60316
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	C/ San Bernardo 85	Madrid		Spain	28015
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Calle Lira, 198	Santiago		Chile	
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Celsiusg. 9	Stockholm		Sweden	11230
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Erzsébet krt. 58.	Budapest		Hungary	H-1073
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Grétrystraat 63	Brussels		Belgium	1000
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Klanova 9/506	Prague		Czech Republic	14700
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Ordynacka 10	Warsaw		Poland	00-358
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Porthaninkatu 9	Helsinki		Finland	00530
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Rilská 3174/6	Prague		Czech Republic	14300
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Rua da Assunção 53	Lisbon		Portugal	
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal	
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Sønder Boulevard 51	Copenhagen		Denmark	1720
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Tauentzienstraße 8	Berlin		Germany	10789
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Ullevålsveien 14	Oslo		Norway	0171
1	Luís Gonçalves	1.04	38	3.410958904109589	134.8	Via Degli Scipioni, 43	Rome	RM	Italy	00192
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	1 Infinite Loop	Cupertino	CA	USA	95014
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	1 Microsoft Way	Redmond	WA	USA	98052-8300
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	1033 N Park Ave	Tucson	AZ	USA	85719
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	11, Place Bellecour	Lyon		France	69002
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	110 Raeburn Pl	"Edinburgh "		United Kingdom	EH4 1HH
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	113 Lupus St	London		United Kingdom	SW1V 3EN
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	12,Community Centre	Delhi		India	110017
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	120 S Orange Ave	Orlando	FL	USA	32801
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	1498 rue Bélanger	Montréal	QC	Canada	H2G 1A7
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	1600 Amphitheatre Parkway	Mountain View	CA	USA	94043-1351
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	162 E Superior Street	Chicago	IL	USA	60611
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	194A Chain Lake Drive	Halifax	NS	Canada	B3S 1C5
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	202 Hoxton Street	London		United Kingdom	N1 5LH
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	2211 W Berry Street	Fort Worth	TX	USA	76110
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	230 Elgin Street	Ottawa	ON	Canada	K2P 1L7
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	3 Chatham Street	Dublin	Dublin	Ireland	
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	3,Raj Bhavan Road	Bangalore		India	560001
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	302 S 700 E	Salt Lake City	UT	USA	84102
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	307 Macacha Güemes	Buenos Aires		Argentina	1106
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	319 N. Frances Street	Madison	WI	USA	53703
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	4, Rue Milton	Paris		France	75009
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	421 Bourke Street	Sidney	NSW	Australia	2010
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	5112 48 Street	Yellowknife	NT	Canada	X1A 1N6
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	541 Del Medio Avenue	Mountain View	CA	USA	94040-111
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	627 Broadway	New York	NY	USA	10012-2612
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	68, Rue Jouvence	Dijon		France	21000
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	69 Salem Street	Boston	MA	USA	2113
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	696 Osborne Street	Winnipeg	MB	Canada	R3L 2B9
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	700 W Pender Street	Vancouver	BC	Canada	V6C 1G8
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	796 Dundas Street West	Toronto	ON	Canada	M6J 1V1
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	8, Rue Hanovre	Paris		France	75002
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	801 W 4th Street	Reno	NV	USA	89503
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	8210 111 ST NW	Edmonton	AB	Canada	T6G 2C7
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	9, Place Louis Barthou	Bordeaux		France	33000
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Av. Brigadeiro Faria Lima, 2170	São José dos Campos	SP	Brazil	12227-000
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Av. Paulista, 2022	São Paulo	SP	Brazil	01310-200
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Barbarossastraße 19	Berlin		Germany	10779
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Berger Straße 10	Frankfurt		Germany	60316
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	C/ San Bernardo 85	Madrid		Spain	28015
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Calle Lira, 198	Santiago		Chile	
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Celsiusg. 9	Stockholm		Sweden	11230
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Erzsébet krt. 58.	Budapest		Hungary	H-1073
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Grétrystraat 63	Brussels		Belgium	1000
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Klanova 9/506	Prague		Czech Republic	14700
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Lijnbaansgracht 120bg	Amsterdam	VV	Netherlands	1016
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Ordynacka 10	Warsaw		Poland	00-358
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Porthaninkatu 9	Helsinki		Finland	00530
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Praça Pio X, 119	Rio de Janeiro	RJ	Brazil	20040-020
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Qe 7 Bloco G	Brasília	DF	Brazil	71020-677
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Rilská 3174/6	Prague		Czech Republic	14300
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Rotenturmstraße 4, 1010 Innere Stadt	Vienne		Austria	1010
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Rua Dr. Falcão Filho, 155	São Paulo	SP	Brazil	01007-010
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Rua da Assunção 53	Lisbon		Portugal	
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Rua dos Campeões Europeus de Viena, 4350	Porto		Portugal	
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Sønder Boulevard 51	Copenhagen		Denmark	1720
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Tauentzienstraße 8	Berlin		Germany	10789
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Theodor-Heuss-Straße 34	Stuttgart		Germany	70174
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Ullevålsveien 14	Oslo		Norway	0171
2	Leonie Köhler	0.99	38	3.5315068493150683	132.86	Via Degli Scipioni, 43	Rome	RM	Italy	00192
3	François Tremblay	1.04	38	3.5315068493150683	139.57	1 Infinite Loop	Cupertino	CA	USA	95014
3	François Tremblay	1.04	38	3.5315068493150683	139.57	1 Microsoft Way	Redmond	WA	USA	98052-8300
3	François Tremblay	1.04	38	3.5315068493150683	139.57	1033 N Park Ave	Tucson	AZ	USA	85719
3	François Tremblay	1.04	38	3.5315068493150683	139.57	11, Place Bellecour	Lyon		France	69002
